Ward,Accessibility Index,Time limit,Situation
1,388.6309612,30,Before
2,537.1379347,30,Before
3,699.3949785,30,Before
4,522.8349661,30,Before
5,716.0248039,30,Before
6,1868.071658,30,Before
7,1528.152172,30,Before
8,0,30,Before
9,106.110641,30,Before
10,354.7281506,30,Before
11,291.3535654,30,Before
12,939.7772748,30,Before
13,502.5384056,30,Before
14,1057.383098,30,Before
15,0,30,Before
16,559.8195792,30,Before
17,47.06262499,30,Before
18,340.5493526,30,Before
19,0,30,Before
20,490.4500956,30,Before
21,458.2321769,30,Before
22,386.4749509,30,Before
23,781.3469444,30,Before
24,0,30,Before
25,451.9537226,30,Before
26,218.3299417,30,Before
27,649.6082359,30,Before
28,737.7200584,30,Before
29,1755.019852,30,Before
30,271.0140079,30,Before
31,2863.63307,30,Before
32,2675.294994,30,Before
33,0,30,Before
34,1024.997271,30,Before
35,487.3908323,30,Before
36,534.7305434,30,Before
37,1030.24296,30,Before
38,304.7627608,30,Before
39,97.88938659,30,Before
40,78.00283691,30,Before
41,77.49154441,30,Before
42,287.7310343,30,Before
43,1517.219818,30,Before
44,3591.899099,30,Before
45,9958.732289,30,Before
46,4778.358151,30,Before
47,2344.080544,30,Before
48,536.9192832,30,Before
49,7425.131046,30,Before
50,214.4294241,30,Before
51,940.9368541,30,Before
52,384.6040284,30,Before
53,833.2231039,30,Before
54,152.6983154,30,Before
55,653.1785513,30,Before
56,3914.147485,30,Before
57,296.706779,30,Before
58,303.9515375,30,Before
59,981.7737081,30,Before
60,587.715752,30,Before
61,926.6161427,30,Before
62,1087.750474,30,Before
63,1367.664453,30,Before
64,1797.790826,30,Before
65,537.1932601,30,Before
66,1354.734713,30,Before
67,5116.815047,30,Before
68,8866.401766,30,Before
69,6610.719478,30,Before
70,9475.866914,30,Before
71,6716.84589,30,Before
72,8116.376844,30,Before
73,7304.01044,30,Before
74,8653.252919,30,Before
75,5793.269883,30,Before
76,2424.545265,30,Before
77,8154.963659,30,Before
78,7540.307916,30,Before
79,4958.058181,30,Before
80,4757.200375,30,Before
81,1725.216454,30,Before
82,453.3655181,30,Before
83,790.7208258,30,Before
84,171.1254815,30,Before
85,0,30,Before
86,374.0125581,30,Before
87,530.6583578,30,Before
88,491.5792934,30,Before
89,450.6057909,30,Before
90,766.5250402,30,Before
91,289.0518417,30,Before
92,248.7500652,30,Before
1,454.6824714,45,Before
2,1666.402222,45,Before
3,2503.603081,45,Before
4,1541.013044,45,Before
5,2061.159194,45,Before
6,2321.596419,45,Before
7,3221.763097,45,Before
8,0,45,Before
9,542.6984086,45,Before
10,1139.199393,45,Before
11,1265.55474,45,Before
12,1865.462982,45,Before
13,1750.105809,45,Before
14,2223.591327,45,Before
15,51.80674541,45,Before
16,958.4293334,45,Before
17,246.1437118,45,Before
18,507.1676187,45,Before
19,592.4943322,45,Before
20,782.9419816,45,Before
21,781.4398475,45,Before
22,1294.834676,45,Before
23,1349.690589,45,Before
24,1094.062971,45,Before
25,834.0327285,45,Before
26,839.8598339,45,Before
27,2678.752196,45,Before
28,1757.209314,45,Before
29,2768.656343,45,Before
30,1470.052728,45,Before
31,3503.965137,45,Before
32,3501.202004,45,Before
33,595.4492621,45,Before
34,2069.644258,45,Before
35,1287.574848,45,Before
36,1331.740793,45,Before
37,3132.555888,45,Before
38,1389.941243,45,Before
39,413.1776661,45,Before
40,1055.433603,45,Before
41,638.2237539,45,Before
42,2931.235139,45,Before
43,5644.492557,45,Before
44,7416.342577,45,Before
45,12828.76751,45,Before
46,8399.369592,45,Before
47,6382.713695,45,Before
48,2703.742886,45,Before
49,10784.48804,45,Before
50,1189.507093,45,Before
51,2217.668108,45,Before
52,1723.573357,45,Before
53,1941.119535,45,Before
54,301.2659,45,Before
55,4746.390107,45,Before
56,8906.254514,45,Before
57,1807.326469,45,Before
58,842.3857746,45,Before
59,1275.179865,45,Before
60,1601.809792,45,Before
61,2804.183622,45,Before
62,2836.977696,45,Before
63,7734.954507,45,Before
64,7177.405027,45,Before
65,4395.493062,45,Before
66,7185.716483,45,Before
67,9630.292256,45,Before
68,12197.64132,45,Before
69,11795.04604,45,Before
70,14070.15587,45,Before
71,9634.691602,45,Before
72,11300.48223,45,Before
73,10356.69217,45,Before
74,13301.23917,45,Before
75,11782.53316,45,Before
76,9721.120635,45,Before
77,12900.70531,45,Before
78,12192.75474,45,Before
79,7997.542475,45,Before
80,9339.354686,45,Before
81,7163.611169,45,Before
82,4877.312131,45,Before
83,2792.51463,45,Before
84,2519.27168,45,Before
85,0,45,Before
86,1637.09526,45,Before
87,3293.466883,45,Before
88,812.164155,45,Before
89,553.4164454,45,Before
90,1092.290369,45,Before
91,637.3162972,45,Before
92,248.7500652,45,Before
1,454.6824714,60,Before
2,1962.551302,60,Before
3,2858.548354,60,Before
4,2459.770602,60,Before
5,2545.536778,60,Before
6,2735.122574,60,Before
7,3451.114088,60,Before
8,192.6598,60,Before
9,1022.419334,60,Before
10,2192.101253,60,Before
11,2213.201052,60,Before
12,2882.663774,60,Before
13,2772.711212,60,Before
14,3130.169554,60,Before
15,601.2842679,60,Before
16,1999.154667,60,Before
17,336.9752862,60,Before
18,848.1422399,60,Before
19,873.1941598,60,Before
20,1087.932343,60,Before
21,1457.213533,60,Before
22,2144.311279,60,Before
23,3813.07362,60,Before
24,2358.461808,60,Before
25,2229.297935,60,Before
26,3158.191921,60,Before
27,3281.038785,60,Before
28,3154.123149,60,Before
29,3222.828108,60,Before
30,2299.173741,60,Before
31,3881.686782,60,Before
32,3818.674332,60,Before
33,1294.356675,60,Before
34,2753.579654,60,Before
35,5498.966862,60,Before
36,3248.455528,60,Before
37,5708.371754,60,Before
38,3521.58404,60,Before
